sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),decyzje
"(4.85,5.15)","(3.1500000000000004,inf)","(-inf,4.95)","(-inf,1.45)",0
"(4.85,5.15)","(2.8499999999999996,3.1500000000000004)","(-inf,4.95)","(-inf,1.45)",0
"(-inf,4.85)","(3.1500000000000004,inf)","(-inf,4.95)","(-inf,1.45)",0
"(-inf,4.85)","(2.8499999999999996,3.1500000000000004)","(-inf,4.95)","(-inf,1.45)",0
"(5.15,6.95)","(3.1500000000000004,inf)","(-inf,4.95)","(-inf,1.45)",0
"(-inf,4.85)","(-inf,2.3499999999999996)","(-inf,4.95)","(-inf,1.45)",0
"(6.95,inf)","(3.1500000000000004,inf)","(-inf,4.95)","(-inf,1.45)",1
"(5.15,6.95)","(3.1500000000000004,inf)","(-inf,4.95)","(1.45,1.75)",1
"(5.15,6.95)","(2.8499999999999996,3.1500000000000004)","(-inf,4.95)","(1.45,1.75)",1
"(5.15,6.95)","(-inf,2.3499999999999996)","(-inf,4.95)","(-inf,1.45)",1
"(5.15,6.95)","(2.75,2.8499999999999996)","(-inf,4.95)","(1.45,1.75)",1
"(5.15,6.95)","(2.75,2.8499999999999996)","(-inf,4.95)","(-inf,1.45)",1
"(4.85,5.15)","(2.3499999999999996,2.75)","(-inf,4.95)","(-inf,1.45)",1
"(5.15,6.95)","(2.8499999999999996,3.1500000000000004)","(-inf,4.95)","(-inf,1.45)",1
"(5.15,6.95)","(2.3499999999999996,2.75)","(-inf,4.95)","(-inf,1.45)",1
"(4.85,5.15)","(-inf,2.3499999999999996)","(-inf,4.95)","(-inf,1.45)",1
"(5.15,6.95)","(-inf,2.3499999999999996)","(-inf,4.95)","(1.45,1.75)",1
"(5.15,6.95)","(3.1500000000000004,inf)","(-inf,4.95)","(1.75,inf)",1
"(5.15,6.95)","(2.3499999999999996,2.75)","(-inf,4.95)","(1.45,1.75)",1
"(5.15,6.95)","(2.8499999999999996,3.1500000000000004)","(4.95,inf)","(1.45,1.75)",1
"(5.15,6.95)","(2.3499999999999996,2.75)","(4.95,inf)","(1.45,1.75)",1
"(5.15,6.95)","(3.1500000000000004,inf)","(4.95,inf)","(1.75,inf)",2
"(5.15,6.95)","(2.3499999999999996,2.75)","(4.95,inf)","(1.75,inf)",2
"(6.95,inf)","(2.8499999999999996,3.1500000000000004)","(4.95,inf)","(1.75,inf)",2
"(5.15,6.95)","(2.8499999999999996,3.1500000000000004)","(4.95,inf)","(1.75,inf)",2
"(4.85,5.15)","(2.3499999999999996,2.75)","(-inf,4.95)","(1.45,1.75)",2
"(6.95,inf)","(3.1500000000000004,inf)","(4.95,inf)","(1.75,inf)",2
"(5.15,6.95)","(2.75,2.8499999999999996)","(4.95,inf)","(1.75,inf)",2
"(6.95,inf)","(2.3499999999999996,2.75)","(4.95,inf)","(1.75,inf)",2
"(5.15,6.95)","(-inf,2.3499999999999996)","(4.95,inf)","(1.45,1.75)",2
"(5.15,6.95)","(2.75,2.8499999999999996)","(-inf,4.95)","(1.75,inf)",2
"(6.95,inf)","(2.75,2.8499999999999996)","(4.95,inf)","(1.75,inf)",2
"(5.15,6.95)","(2.3499999999999996,2.75)","(-inf,4.95)","(1.75,inf)",2
"(5.15,6.95)","(2.8499999999999996,3.1500000000000004)","(-inf,4.95)","(1.75,inf)",2
"(6.95,inf)","(2.8499999999999996,3.1500000000000004)","(4.95,inf)","(1.45,1.75)",2
"(5.15,6.95)","(2.75,2.8499999999999996)","(4.95,inf)","(1.45,1.75)",2
"(5.15,6.95)","(2.3499999999999996,2.75)","(4.95,inf)","(-inf,1.45)",2
